relays,payload,messages
6,10000000,0
6,10000000,0
6,10000000,0
6,10000000,0
6,10000000,0
6,10000000,1
6,10000000,2
6,10000000,3
6,10000000,2
6,10000000,2
6,10000000,2
6,10000000,3
6,10000000,2
6,10000000,2
6,10000000,3
6,10000000,2
6,10000000,2
6,10000000,3
6,10000000,2
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,53706
7,0,57520
7,0,60823
7,0,63974
7,0,59369
7,0,60712
7,0,73191
7,0,59056
7,0,70994
7,0,67158
7,0,62885
7,0,71982
7,0,61670
7,0,59876
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,0
7,1,56440
7,1,57177
7,1,60577
7,1,54544
7,1,62880
7,1,65550
7,1,61066
7,1,66402
7,1,63350
7,1,55013
7,1,60188
7,1,69670
7,1,60621
7,1,60275
7,10,0
7,10,0
7,10,0
7,10,0
7,10,0
7,10,0
7,10,0
7,10,0
7,10,47342
7,10,60341
7,10,60131
7,10,61556
7,10,64838
7,10,62430
7,10,60764
7,10,64607
7,10,66244
7,10,58394
7,10,64540
7,10,54284
7,10,61388
7,10,64706
7,100,0
7,100,0
7,100,0
7,100,0
7,100,0
7,100,0
7,100,0
7,100,0
7,100,34449
7,100,34340
7,100,33871
7,100,34046
7,100,34654
7,100,35635
7,100,31325
7,100,33168
7,100,34673
7,100,35133
7,100,34398
7,100,30872
7,100,34769
7,100,34370
7,1000,0
7,1000,0
7,1000,0
7,1000,0
7,1000,0
7,1000,0
7,1000,0
7,1000,0
7,1000,10336
7,1000,12291
7,1000,13185
7,1000,12651
7,1000,12816
7,1000,11516
7,1000,12618
7,1000,12075
7,1000,12550
7,1000,13242
7,1000,13210
7,1000,12080
7,1000,13066
7,1000,13004
7,10000,0
7,10000,0
7,10000,0
7,10000,0
7,10000,0
7,10000,0
7,10000,0
7,10000,0
7,10000,1126
7,10000,1554
7,10000,1611
7,10000,1610
7,10000,1590
7,10000,1619
7,10000,1483
7,10000,1574
7,10000,1549
7,10000,1569
7,10000,1494
7,10000,1560
7,10000,1597
7,10000,1599
7,100000,0
7,100000,0
7,100000,0
7,100000,0
7,100000,0
7,100000,0
7,100000,0
7,100000,0
7,100000,110
7,100000,161
7,100000,168
7,100000,168
7,100000,164
7,100000,162
7,100000,167
7,100000,165
7,100000,160
7,100000,158
7,100000,164
7,100000,165
7,100000,168
7,100000,168
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,0
7,1000000,15
7,1000000,15
7,1000000,16
7,1000000,16
7,1000000,17
7,1000000,18
7,1000000,18
7,1000000,16
7,1000000,16
7,1000000,16
7,1000000,15
7,1000000,16
7,1000000,16
7,1000000,16
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,0
7,10000000,1
7,10000000,2
7,10000000,2
7,10000000,2
7,10000000,3
7,10000000,2
7,10000000,2
7,10000000,2
7,10000000,2
7,10000000,3
7,10000000,2
7,10000000,2
7,10000000,2
7,10000000,2
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,43309
8,0,46791
8,0,49378
8,0,48435
8,0,39732
8,0,52105
8,0,42043
8,0,46516
8,0,43310
8,0,45423
8,0,54849
8,0,39813
8,0,46917
8,0,44945
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,36051
8,1,46593
8,1,45751
8,1,42300
8,1,46233
8,1,44267
8,1,48840
8,1,41545
8,1,45912
8,1,46673
8,1,48073
8,1,37472
8,1,49259
8,1,47984
8,10,0
8,10,0
8,10,0
8,10,0
8,10,0
8,10,0
8,10,0
8,10,0
8,10,0
8,10,37756
8,10,46387
8,10,46275
8,10,48486
8,10,39832
8,10,44825
8,10,72187
8,10,53693
8,10,61645
8,10,59126
8,10,60630
8,10,58907
8,10,53519
8,10,64639
8,100,0
8,100,0
8,100,0
8,100,0
8,100,0
8,100,0
8,100,0
8,100,0
8,100,0
8,100,35645
8,100,35231
8,100,34641
8,100,34680
8,100,34860
8,100,32847
8,100,34611
8,100,34506
8,100,34061
8,100,32048
8,100,31562
8,100,34648
8,100,34254
8,100,34131
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,0
8,1000,11115
8,1000,13224
8,1000,12512
8,1000,12961
8,1000,12888
8,1000,13067
8,1000,11929
8,1000,12595
8,1000,12536
8,1000,12639
8,1000,12549
8,1000,12750
8,1000,12791
8,1000,12919
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,0
8,10000,1195
8,10000,1562
8,10000,1464
8,10000,1515
8,10000,1507
8,10000,1527
8,10000,1538
8,10000,1570
8,10000,1505
8,10000,1446
8,10000,1556
8,10000,1513
8,10000,1543
8,10000,1517
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,0
8,100000,125
8,100000,160
8,100000,163
8,100000,160
8,100000,161
8,100000,156
8,100000,155
8,100000,159
8,100000,162
8,100000,156
8,100000,159
8,100000,163
8,100000,157
8,100000,165
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,0
8,1000000,15
8,1000000,15
8,1000000,15
8,1000000,15
8,1000000,16
8,1000000,15
8,1000000,15
8,1000000,16
8,1000000,15
8,1000000,15
8,1000000,16
8,1000000,14
8,1000000,18
8,1000000,15
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,0
8,10000000,1
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,2
8,10000000,3
8,10000000,2
8,10000000,2
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,42677
9,0,48958
9,0,40024
9,0,41980
9,0,46101
9,0,43468
9,0,43849
9,0,41503
9,0,49218
9,0,45880
9,0,47085
9,0,43458
9,0,45544
9,0,42166
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,28039
9,1,47800
9,1,39919
9,1,45008
9,1,44210
9,1,43129
9,1,48640
9,1,45910
9,1,45241
9,1,44422
9,1,36829
