relays,payload,messages
4,1000,11865
4,1000,11774
4,1000,11914
4,1000,11827
4,1000,11818
4,1000,11897
4,10000,0
4,10000,0
4,10000,0
4,10000,0
4,10000,0
4,10000,1176
4,10000,1234
4,10000,1224
4,10000,1234
4,10000,1221
4,10000,1224
4,10000,1225
4,10000,1227
4,10000,1226
4,10000,1226
4,10000,1227
4,10000,1227
4,10000,1226
4,10000,1225
4,10000,1219
4,100000,0
4,100000,0
4,100000,0
4,100000,0
4,100000,0
4,100000,119
4,100000,123
4,100000,124
4,100000,123
4,100000,123
4,100000,124
4,100000,123
4,100000,123
4,100000,124
4,100000,123
4,100000,124
4,100000,123
4,100000,123
4,100000,123
4,100000,124
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,0
4,1000000,11
4,1000000,13
4,1000000,12
4,1000000,13
4,1000000,12
4,1000000,12
4,1000000,13
4,1000000,12
4,1000000,13
4,1000000,12
4,1000000,12
4,1000000,13
4,1000000,12
4,1000000,13
4,1000000,12
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,0
4,10000000,2
4,10000000,1
4,10000000,1
4,10000000,1
4,10000000,2
4,10000000,1
4,10000000,1
4,10000000,2
4,10000000,1
4,10000000,1
4,10000000,1
4,10000000,2
4,10000000,1
4,10000000,1
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,42428
5,0,47996
5,0,58487
5,0,72750
5,0,73186
5,0,69752
5,0,93102
5,0,63947
5,0,49189
5,0,59676
5,0,62814
5,0,78558
5,0,94198
5,0,59026
5,0,57927
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,0
5,1,50385
5,1,76744
5,1,79320
5,1,76012
5,1,40220
5,1,64137
5,1,59140
5,1,66976
5,1,70949
5,1,62532
5,1,62538
5,1,52619
5,1,48552
5,1,82032
5,1,88454
5,10,0
5,10,0
5,10,0
5,10,0
5,10,0
5,10,0
5,10,58673
5,10,74958
5,10,54524
5,10,86043
5,10,71917
5,10,88174
5,10,52515
5,10,66173
5,10,61935
5,10,47429
5,10,58177
5,10,81849
5,10,113034
5,10,71593
5,10,54608
5,100,0
5,100,0
5,100,0
5,100,0
5,100,0
5,100,0
5,100,44195
5,100,51432
5,100,47652
5,100,51641
5,100,49604
5,100,51039
5,100,47304
5,100,53877
5,100,48219
5,100,49338
5,100,50981
5,100,48758
5,100,50699
5,100,50659
5,100,44646
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,0
5,1000,11106
5,1000,11383
5,1000,11495
5,1000,11362
5,1000,11468
5,1000,11328
5,1000,11516
5,1000,11362
5,1000,11417
5,1000,11390
5,1000,11469
5,1000,11443
5,1000,11357
5,1000,11399
5,1000,11410
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,0
5,10000,1165
5,10000,1211
5,10000,1207
5,10000,1209
5,10000,1210
5,10000,1209
5,10000,1207
5,10000,1212
5,10000,1210
5,10000,1213
5,10000,1210
5,10000,1212
5,10000,1210
5,10000,1208
5,10000,1211
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,0
5,100000,117
5,100000,122
5,100000,121
5,100000,122
5,100000,122
5,100000,122
5,100000,122
5,100000,121
5,100000,122
5,100000,122
5,100000,122
5,100000,122
5,100000,122
5,100000,122
5,100000,122
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,0
5,1000000,11
5,1000000,12
5,1000000,13
5,1000000,12
5,1000000,12
5,1000000,12
5,1000000,13
5,1000000,12
5,1000000,12
5,1000000,12
5,1000000,13
5,1000000,12
5,1000000,12
5,1000000,12
5,1000000,13
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,0
5,10000000,1
5,10000000,2
5,10000000,1
5,10000000,1
5,10000000,2
5,10000000,1
5,10000000,1
5,10000000,1
5,10000000,2
5,10000000,1
5,10000000,1
5,10000000,1
5,10000000,2
5,10000000,1
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,45900
6,0,32688
6,0,39542
6,0,56077
6,0,44434
6,0,63972
6,0,44451
6,0,58445
6,0,44616
6,0,59392
6,0,56640
6,0,56108
6,0,58862
6,0,53699
6,0,53305
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,41561
6,1,67924
6,1,59135
6,1,52832
6,1,48550
6,1,49618
6,1,56455
6,1,60546
6,1,90346
6,1,44504
6,1,65149
6,1,68909
6,1,58626
6,1,48286
6,1,46274
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,0
6,10,48133
6,10,48958
6,10,41847
6,10,61888
6,10,68770
6,10,60897
6,10,48226
6,10,43769
6,10,70325
6,10,77461
6,10,53800
6,10,52765
6,10,37156
6,10,72018
6,10,52737
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,0
6,100,37967
6,100,44048
6,100,41487
6,100,45738
6,100,42337
6,100,45052
